Date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,SHORT_SMA,MEDIUM_SMA,SIGNAL,BM_RET,BM_EOD_BAL,BM_PNL,RETURNS,EOD_BAL,PNL,BM_EOD_BAL,BM_PNL,BM_EOD_BAL,PNL
10/30/2000,1190.000000,1194.000000,1174.900000,1175.000000,1175.000000,1164.270000,1.000000,-0.011691,803693.570451,0.000000,-0.011691,1251017.904258,0.000000,993363.486494,0.000000,993363.486494,0.000000
10/31/2000,1179.450000,1182.000000,1164.000000,1181.600000,1181.600000,1163.925000,1.000000,0.005617,808207.934337,0.000000,0.005617,1258044.898443,0.000000,998943.230334,0.000000,998943.230334,0.000000
11/1/2000,1194.950000,1210.500000,1193.050000,1207.600000,1207.600000,1168.245000,1.000000,0.022004,825991.792066,0.000000,0.022004,1285726.996750,0.000000,1020924.039396,0.000000,1020924.039396,0.000000
11/2/2000,1209.000000,1232.000000,1209.000000,1230.800000,1230.800000,1177.235000,1.000000,0.019212,841860.465116,0.000000,0.019212,1310427.946009,0.000000,1040537.684406,0.000000,1040537.684406,0.000000
11/3/2000,1236.000000,1259.000000,1233.000000,1249.100000,1249.100000,1185.265000,1.000000,0.014868,854377.564979,0.000000,0.014868,1329911.884432,0.000000,1056008.792324,0.000000,1056008.792324,0.000000
11/6/2000,1234.000000,1265.000000,1160.250000,1245.650000,1245.650000,1195.945000,1.000000,-0.002762,852017.783858,0.000000,-0.002762,1326238.682926,0.000000,1053092.108044,0.000000,1053092.108044,0.000000
11/7/2000,1240.000000,1257.000000,1236.500000,1253.900000,1253.900000,1206.845000,1.000000,0.006623,857660.738714,0.000000,0.006623,1335022.425658,0.000000,1060066.787843,0.000000,1060066.787843,0.000000
11/8/2000,1261.000000,1280.000000,1261.000000,1266.050000,1266.050000,1218.145000,1.000000,0.009690,865971.272230,0.000000,0.009690,1347958.483136,0.000000,1070338.589001,0.000000,1070338.589001,0.000000
11/9/2000,1267.050000,1280.000000,1254.000000,1272.050000,1272.050000,1227.065000,1.000000,0.004739,870075.239398,0.000000,0.004739,1354346.659669,0.000000,1075411.083400,0.000000,1075411.083400,0.000000
11/10/2000,1269.000000,1269.000000,1242.000000,1243.000000,1243.000000,1232.475000,1.000000,-0.022837,850205.198358,0.000000,-0.022837,1323417.238291,0.000000,1050851.756351,0.000000,1050851.756351,0.000000
11/13/2000,1230.050000,1254.000000,1208.000000,1213.400000,1213.400000,1236.315000,1.000000,-0.023813,829958.960328,20896.032832,-0.023813,1291902.234065,32526.465511,1025827.450649,25827.450649,1025827.450649,25827.450649
11/14/2000,1219.000000,1253.000000,1217.500000,1248.350000,1248.350000,1242.990000,-1.000000,0.028803,853864.569083,23905.608755,-0.028803,1254691.105764,-37211.128301,1028803.362453,28803.362453,971196.637547,-28803.362453
